Timestamp,Location,Face_ID,Condition,Confidence_Risk_Score
2026-09-08 17:47:39,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:39,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:40,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:41,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:41,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:41,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
2026-09-08 17:47:41,Camera_Zone_Alpha,5,Physiological Panic Detected,90.0
