timestamp,frame_number,location_x,location_y,detected_condition,event_type,group_id,related_group_ids,pedestrian_count,group_count,confidence,risk_score
21:55:40,1,640,360,HIGH_CROWD_DENSITY,HIGH_CROWD_DENSITY,ALL,G1;G2,8,2,0.95,0.55
21:55:40,2,1076,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,3,1072,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,4,1068,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,5,1064,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,6,1060,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,7,1056,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,8,1052,386,STABLE_GROUP,STABLE_GROUP,G1,G1,8,2,0.96,0.12
21:55:41,8,203,359,STABLE_GROUP,STABLE_GROUP,G2,G2,8,2,0.96,0.12
21:55:41,9,1048,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,10,1044,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,11,1040,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,12,1036,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:41,13,1032,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,14,1028,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,15,1024,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,16,1020,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,17,1016,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,18,1012,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,19,1008,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,20,1004,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,21,1000,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,22,996,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,23,992,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:42,24,988,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,25,984,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,26,980,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,27,976,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,28,972,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,29,968,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,30,964,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,31,960,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,32,956,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,33,952,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,34,948,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,35,944,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:43,36,940,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:44,37,936,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:44,38,932,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:44,39,928,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
21:55:44,40,924,386,GROUP_FORMED,NORMAL,G1,G1;G2,8,2,0.98,0.05
